rgn_id,product,year,tonnes_rel
1,corals,1996,0.403530895334174
1,corals,1997,0.807061790668348
1,corals,1998,0.672551492223623
1,corals,1999,0.668348045397226
1,corals,2000,0.907944514501892
1,corals,2001,0.970996216897856
1,corals,2002,1
1,corals,2003,1
1,corals,2004,1
1,corals,2005,1
1,corals,2006,0.542244640605296
1,corals,2007,0.176544766708701
1,corals,2008,0
1,corals,2009,0.0126103404791929
1,corals,2010,0.0126103404791929
1,corals,2011,0.0126103404791929
1,corals,2012,0.0126103404791929
1,corals,2013,0
1,corals,2014,0
1,corals,2015,0
1,fish_oil,1980,0.211391661773341
1,fish_oil,1981,0.399295361127422
1,fish_oil,1982,0.884713251125465
1,fish_oil,1983,1
1,fish_oil,1984,1
1,fish_oil,1985,1
1,fish_oil,1986,1
1,fish_oil,1987,1
1,fish_oil,1988,0.82795067527892
1,fish_oil,1989,0.640046975924839
1,fish_oil,1990,0.587199060481503
1,fish_oil,1991,0.575455079271873
1,fish_oil,1992,0.575455079271873
1,fish_oil,1993,0.493247210804463
1,fish_oil,1994,0.375807398708162
1,fish_oil,1995,0.176159718144451
1,fish_oil,1996,0.0528479154433353
1,fish_oil,1997,0.0411039342337052
1,fish_oil,1998,0.0293599530240752
1,fish_oil,1999,0.0293599530240752
1,fish_oil,2000,0.0117439812096301
1,fish_oil,2001,0.0117439812096301
1,fish_oil,2002,0.0293599530240752
1,fish_oil,2003,0.0469759248385203
1,fish_oil,2004,0.0469759248385203
1,fish_oil,2005,0.0352319436288902
1,fish_oil,2006,0.0528479154433353
1,fish_oil,2007,0.0358191426893717
1,fish_oil,2008,0.0416911332941867
1,fish_oil,2009,0.082795067527892
1,fish_oil,2010,0.0475631238990018
1,fish_oil,2011,0.0469759248385203
1,fish_oil,2012,0.0411039342337052
1,fish_oil,2013,0
1,fish_oil,2014,0
1,fish_oil,2015,0
1,ornamentals,1980,1
1,ornamentals,1981,1
1,ornamentals,1982,1
1,ornamentals,1983,1
1,ornamentals,1984,1
1,ornamentals,1985,1
1,ornamentals,1986,1
1,ornamentals,1987,1
1,ornamentals,1988,1
1,ornamentals,1989,1
1,ornamentals,1990,1
1,ornamentals,1991,1
1,ornamentals,1992,1
1,ornamentals,1993,1
1,ornamentals,1994,1
1,ornamentals,1995,1
1,ornamentals,1996,1
1,ornamentals,1997,1
1,ornamentals,1998,0.996745152581818
1,ornamentals,1999,0.953338208977531
1,ornamentals,2000,0.91049730741769
1,ornamentals,2001,0.874889165314677
1,ornamentals,2002,0.849784247814189
1,ornamentals,2003,0.827195072733468
1,ornamentals,2004,0.798505222284811
1,ornamentals,2005,0.891574549189365
1,ornamentals,2006,1
1,ornamentals,2007,1
1,ornamentals,2008,1
1,ornamentals,2009,1
1,ornamentals,2010,1
1,ornamentals,2011,1
1,ornamentals,2012,0.779424115872217
1,ornamentals,2013,0.735366306478553
1,ornamentals,2014,0.713531463868373
1,ornamentals,2015,0.804769913346624
1,shells,1996,1
1,shells,1997,1
1,shells,1998,1
1,shells,1999,0.855661192739844
1,shells,2000,0.492653414001729
1,shells,2001,0.129645635263613
1,shells,2002,0.20743301642178
1,shells,2003,0.190146931719965
1,shells,2004,0.267934312878133
1,shells,2005,0.293863439930856
1,shells,2006,0.242005185825411
1,shells,2007,0.20743301642178
1,shells,2008,0.129645635263613
1,shells,2009,0.0605012964563526
1,shells,2010,0.017286084701815
1,shells,2011,8.64304235090752e-4
1,shells,2012,8.64304235090752e-4
1,shells,2013,8.64304235090752e-4
1,shells,2014,8.64304235090752e-4
1,shells,2015,0
